Ticker,Short Name,Name,Market Cap,Price:D-1,P/E,Total Return YTD,Revenue T12M,EPS T12M,Ticker name 3,Ticker name 2,len,Ticker name
2668 HK Equity,PAK TAK INTERNAT,_æ_w¡êÈò,1669699968,1.179999948,,71.01448822,349046000,-0.0121,2668,2668.HK,4,2668.HK
8172 HK Equity,LAJIN ENTERTAINM,©ï»–_™¨T,1660733184,0.589999974,,-35.86956787,5107000,-0.022658,8172,8172.HK,4,8172.HK
248 HK Equity,HKC INTL HLDGS,_È«__q¡T,290909408,0.36500001,157.8719788,2.816907167,231448992,0.002312,248,248.HK,3,0248.HK
8082 HK Equity,SAGE INTERNATION,_ø«_¡êÈò,117402968,0.170000002,,-12.82050896,15962000,-0.045712002,8082,8082.HK,4,8082.HK
8047 HK Equity,SKY FOREVER,_tùò¬„Ë_Ì“,179633264,0.107000001,,25.88235283,2604819008,-0.095235,8047,8047.HK,4,8047.HK
818 HK Equity,HI SUN TECHNOLOG,¡»__Â“__,3221127168,1.159999967,17.74731445,-18.88111877,1376845984,0.065362001,818,818.HK,3,0818.HK
690 HK Equity,UNI-BIO GROUP,çp±d´ê»ÇÂ“___¡_ë,777550656,0.153999999,,-13.96648312,,,690,690.HK,3,0690.HK
909 HK Equity,ZHONGDA INTERNAT,___j¡êÈò,462084768,0.425000012,,0,11522571.48,0.00799914,909,909.HK,3,0909.HK
1026 HK Equity,UNIVERSAL TECHNO,Ë™_y_êá~Â“__,816372800,0.38499999,,-40.76922989,224416992,-0.021202001,1026,1026.HK,4,1026.HK
896 HK Equity,HANISON CONSTRUC,À__î__Ç¯,1305012480,1.25999999,2.138864279,-6.896488667,2643896960,0.589097669,896,896.HK,3,0896.HK
318 HK Equity,VONGROUP LTD,_Ë»e_êá~,192478048,1.139999986,7.490144253,-54.03225708,,0.130600007,318,318.HK,3,0318.HK
8079 HK Equity,EASY REPAY FINAN,©_çô¡]¡é_‘üê,158557936,0.720000029,2.371268272,24.13793945,103074000,0.303634996,8079,8079.HK,4,8079.HK
931 HK Equity,CHINA LNG GROUP,__¡ê_„µM¨_,15787813888,0.280000001,39.4366188,-8.196722984,30847000,0.0071,931,931.HK,3,0931.HK
1228 HK Equity,SUPERB SUMMIT,©_¨p¡êÈò,11957705728,1.460000038,,0,132487000,-0.107566999,1228,1228.HK,4,1228.HK
8076 HK Equity,SING LEE SOFTWAR,ás_Q_n´—,182394736,0.210999995,38.70360184,-5.803576469,70110588.59,0.00604634,8076,8076.HK,4,8076.HK
9 HK Equity,NINE EXPRESS LTD,_Eü__B_q,951397568,0.38499999,,-71.05263519,24422000,-0.418035986,9,9.HK,1,0009.HK
65 HK Equity,GRAND OCEAN ADVA,´¡¨Ÿ¡»ásüêá_,173699616,0.344999999,,-25.00000191,245838000,-0.349499989,65,65.HK,2,0065.HK
8022 HK Equity,EVERSHINE GP,´Ì€£_¡_ë±±»„,586044160,0.389999986,,71.05262756,92620000,-0.011653,8022,8022.HK,4,8022.HK
8150 HK Equity,SEAMLESS GREEN,µLç__–_‰__¡ê,464939200,0.36500001,,112.2092972,16796000,-0.02904,8150,8150.HK,4,8150.HK
8019 HK Equity,HAO WEN HOLDINGS,µq_Œ±±»„,366700032,0.204999998,,-20.27770233,39944553.81,-0.286021133,8019,8019.HK,4,8019.HK
8158 HK Equity,CRMI,__¡ê_A´êåŒ_‚,5189692928,0.294999987,,-28.04878235,18152000,-0.018185,8158,8158.HK,4,8158.HK
2362 HK Equity,JINCHUAN GROUP,»Ö_t¡êÈò,1348733440,0.310000002,,-15.0684948,3649156472,-0.519883721,2362,2362.HK,4,2362.HK
885 HK Equity,RENTIAN TECHNOLO,_ø_„Â“__±±»„,5480131072,0.540000021,79.49362183,-5.263153076,904096000,0.006792998,885,885.HK,3,0885.HK
1061 HK Equity,ESSEX BIO-TECH,È›_î´ê»ÇÂ“__,2260545536,4.039999962,21.46526909,-16.21560478,654010496,0.188211001,1061,1061.HK,4,1061.HK
889 HK Equity,DATRONIX HOLD,_s_FÂ“__,419200000,1.309999943,154.8646393,-1.503766894,279696000,0.008459,889,889.HK,3,0889.HK
721 HK Equity,CHINA FINANCIAL,__¡ê»ÖÀ€¡êÈò_‘üê,6802413056,0.620000005,,-38,-141722000,-0.0271,721,721.HK,3,0721.HK
3633 HK Equity,ZHONGYU GAS HOLD,__üëÀU¨_,4368263168,1.730000019,46.83016586,-3.88888526,3276666112,0.036942001,3633,3633.HK,4,3633.HK
8075 HK Equity,MEDIA ASIA GROUP,_é¬é_‚«C,1110749568,0.519999981,356.6529541,-14.75410366,524047008,0.001458,8075,8075.HK,4,8075.HK
8049 HK Equity,JILIN PROVINCE-H,_N»LÂô_ÖÇn»¿ËsÌ€á~,930014976,1.659999967,5.685586929,-36.39846802,777656144.1,0.308019701,8049,8049.HK,4,8049.HK
1195 HK Equity,KINGWELL GROUP,¬æ___¡_ë,807545664,0.280000001,,3.703700066,11760108.25,-0.040626831,1195,1195.HK,4,1195.HK
8129 HK Equity,CHINA BIO CASSAV,__¡ê´ê»Çüêá_,300340160,0.120999999,,-37.94871521,7576000,-0.002929,8129,8129.HK,4,8129.HK
329 HK Equity,DRAGONITE INTERN,_TËs¡êÈò,974969920,0.920000017,29.31897163,-7.999998093,24375000,0.031379001,329,329.HK,3,0329.HK
861 HK Equity,DIGITAL CHINA,øÇ_{±±»„,5745346560,5.230000019,16.29405403,-12.68930244,24826896384,0.616743006,861,861.HK,3,0861.HK
8051 HK Equity,TELEEYE HOLDINGS,_d¬__«,753228736,0.899999976,,153.5211334,27595000,-0.00650618,8051,8051.HK,4,8051.HK
1213 HK Equity,MOBICON GROUP,üUÇO_è_¡_ë,322000000,1.610000014,47.49262619,-17.01031113,716091008,0.0339,1213,1213.HK,4,1213.HK
362 HK Equity,CHINA ZENITH CHE,__¡ê_„_®_u,693247360,0.275000006,,-61.26760483,80735000,-0.097540001,362,362.HK,3,0362.HK
8045 HK Equity,NANDASOFT-H,Çn_j€Â«IøS,496000000,0.400000006,,6.666668415,700989964.4,-0.160617772,8045,8045.HK,4,8045.HK
673 HK Equity,CHINA HEALTHCARE,__¡ê_Ì´ê±±»„,354031264,0.166999996,,-27.39130783,40061000,-0.022299999,673,673.HK,3,0673.HK
290 HK Equity,C FORTUNE FIN,__¡ê«I±j»ÖÀ€,512757856,0.150000006,,26.05042267,52136000,-0.039600002,290,290.HK,3,0290.HK
1083 HK Equity,TOWNGAS CHINA,«_µ¯ÀU¨_,11006708736,4.130000114,13.52209663,-8.222219467,7718292992,0.305426009,1083,1083.HK,4,1083.HK
366 HK Equity,LUKS GRP VIET,_¡_—_¡_ë(_VÇn),1364302976,2.700000048,15.22396088,3.053441525,610327008,0.177352004,366,366.HK,3,0366.HK
2688 HK Equity,ENN ENERGY,ás_¿øˆá_,39721414656,36.70000076,16.49396133,-11.24546051,39564781520,2.321836047,2688,2688.HK,4,2688.HK
346 HK Equity,YANCHANG PETRO,©µ»¿´ó»o¡êÈò,2441260288,0.201000005,,33.99999619,23320526848,-0.374097986,346,346.HK,3,0346.HK
803 HK Equity,PROSPERITY INTL,©ÖÀ_¡êÈò,1900349056,0.194000006,,-15.65217304,2299459968,-0.067700002,803,803.HK,3,0803.HK
8153 HK Equity,CODE AGRICULTURE,Â“_a_Aá~,122447944,0.819999993,,-33.33333588,39613000,-1.909960032,8153,8153.HK,4,8153.HK
8120 HK Equity,CHINA DEMETER IN,__¡êøÇ_A_‘üê,66872964,0.112999998,,-54.98622894,,,8120,8120.HK,4,8120.HK
821 HK Equity,VALUE CONVERGENC,__ÂÍ±±»„,695793216,1.25999999,,-22.6993866,82340000,-0.029061001,821,821.HK,3,0821.HK
