Warrant Ticker,Expiration Date
20581,31/5/2016
21694,31/5/2016
20536,31/5/2016
12233,1/6/2016
21063,1/6/2016
24237,2/6/2016
23089,2/6/2016
20097,2/6/2016
21876,2/6/2016
22589,2/6/2016
23223,3/6/2016
23353,3/6/2016
22561,3/6/2016
24472,3/6/2016
12102,3/6/2016
12118,3/6/2016
20231,3/6/2016
20279,3/6/2016
24382,6/6/2016
20634,8/6/2016
21334,8/6/2016
17403,20/6/2016
21332,20/6/2016
16425,22/6/2016
21785,22/6/2016
23212,27/6/2016
20418,27/6/2016
17702,28/6/2016
20546,29/6/2016
21197,29/6/2016
24172,29/6/2016
24831,29/6/2016
26764,29/6/2016
26014,29/6/2016
21009,29/6/2016
21729,29/6/2016
22822,29/6/2016
24425,29/6/2016
24684,29/6/2016
24832,29/6/2016
25195,29/6/2016
25808,29/6/2016
24451,29/6/2016
24071,29/6/2016
20480,29/6/2016
22990,29/6/2016
22997,29/6/2016
25177,29/6/2016
11158,29/6/2016
23524,29/6/2016
24691,29/6/2016
16548,30/6/2016
19963,30/6/2016
25454,30/6/2016
20427,30/6/2016
20377,30/6/2016
21302,30/6/2016
22812,30/6/2016
21059,30/6/2016
21680,30/6/2016
17167,30/6/2016
21600,30/6/2016
25830,30/6/2016
23222,30/6/2016
25617,30/6/2016
20340,4/7/2016
24384,5/7/2016
25393,5/7/2016
21881,5/7/2016
24694,5/7/2016
24840,5/7/2016
23480,5/7/2016
20525,5/7/2016
21941,5/7/2016
23091,5/7/2016
24591,5/7/2016
24817,5/7/2016
26700,5/7/2016
22006,5/7/2016
24580,5/7/2016
26238,6/7/2016
17837,6/7/2016
24541,6/7/2016
11133,6/7/2016
24354,6/7/2016
22343,6/7/2016
26196,6/7/2016
27454,7/7/2016
27133,11/7/2016
24636,11/7/2016
25709,12/7/2016
25423,14/7/2016
25425,14/7/2016
21448,25/7/2016
21997,27/7/2016
25411,28/7/2016
26712,28/7/2016
27129,28/7/2016
27594,28/7/2016
27608,28/7/2016
25357,28/7/2016
25377,28/7/2016
26704,28/7/2016
27153,28/7/2016
24427,28/7/2016
25272,28/7/2016
25306,28/7/2016
26147,28/7/2016
27284,28/7/2016
22799,28/7/2016
24422,28/7/2016
26256,28/7/2016
26921,28/7/2016
26939,28/7/2016
27188,28/7/2016
27564,28/7/2016
22882,29/7/2016
24819,29/7/2016
26869,29/7/2016
26291,1/8/2016
25523,1/8/2016
20061,1/8/2016
25165,1/8/2016
25650,2/8/2016
25853,2/8/2016
25504,2/8/2016
26031,2/8/2016
18109,2/8/2016
22304,2/8/2016
25034,2/8/2016
25501,2/8/2016
25839,2/8/2016
24470,3/8/2016
24771,3/8/2016
26338,3/8/2016
23905,3/8/2016
24476,3/8/2016
25732,3/8/2016
26236,3/8/2016
