Ticker,Short Name,Name,Market Cap,Price:D-1,P/E,Total Return YTD,Revenue T12M,EPS T12M
2668 HK Equity,PAK TAK INTERNAT,百德國際,1669699968,1.179999948,,71.01448822,349046000,-0.0121
8172 HK Equity,LAJIN ENTERTAINM,拉近網娛,1660733184,0.589999974,,-35.86956787,5107000,-0.022658
248 HK Equity,HKC INTL HLDGS,香港通訊,290909408,0.36500001,157.8719788,2.816907167,231448992,0.002312
8082 HK Equity,SAGE INTERNATION,仁智國際,117402968,0.170000002,,-12.82050896,15962000,-0.045712002
8047 HK Equity,SKY FOREVER,宇恒供應鏈,179633264,0.107000001,,25.88235283,2604819008,-0.095235
818 HK Equity,HI SUN TECHNOLOG,高陽科技,3221127168,1.159999967,17.74731445,-18.88111877,1376845984,0.065362001
690 HK Equity,UNI-BIO GROUP,聯康生物科技集團,777550656,0.153999999,,-13.96648312,,
909 HK Equity,ZHONGDA INTERNAT,中大國際,462084768,0.425000012,,0,11522571.48,0.00799914
1026 HK Equity,UNIVERSAL TECHNO,環球實業科技,816372800,0.38499999,,-40.76922989,224416992,-0.021202001
896 HK Equity,HANISON CONSTRUC,興勝創建,1305012480,1.25999999,2.138864279,-6.896488667,2643896960,0.589097669
318 HK Equity,VONGROUP LTD,黃河實業,192478048,1.139999986,7.490144253,-54.03225708,,0.130600007
8079 HK Equity,EASY REPAY FINAN,易還財務投資,158557936,0.720000029,2.371268272,24.13793945,103074000,0.303634996
931 HK Equity,CHINA LNG GROUP,中國天然氣,15787813888,0.280000001,39.4366188,-8.196722984,30847000,0.0071
1228 HK Equity,SUPERB SUMMIT,奇峰國際,11957705728,1.460000038,,0,132487000,-0.107566999
8076 HK Equity,SING LEE SOFTWAR,新利軟件,182394736,0.210999995,38.70360184,-5.803576469,70110588.59,0.00604634
9 HK Equity,NINE EXPRESS LTD,九號運通,951397568,0.38499999,,-71.05263519,24422000,-0.418035986
65 HK Equity,GRAND OCEAN ADVA,弘海高新資源,173699616,0.344999999,,-25.00000191,245838000,-0.349499989
8022 HK Equity,EVERSHINE GP,永耀集團控股,586044160,0.389999986,,71.05262756,92620000,-0.011653
8150 HK Equity,SEAMLESS GREEN,無縫綠色中國,464939200,0.36500001,,112.2092972,16796000,-0.02904
8019 HK Equity,HAO WEN HOLDINGS,皓文控股,366700032,0.204999998,,-20.27770233,39944553.81,-0.286021133
8158 HK Equity,CRMI,中國再生醫學,5189692928,0.294999987,,-28.04878235,18152000,-0.018185
2362 HK Equity,JINCHUAN GROUP,金川國際,1348733440,0.310000002,,-15.0684948,3649156472,-0.519883721
